class,depth
wd:Q1464545,0
wd:Q3310017,0
wd:Q25353457,0
wd:Q907950,0
N13f507c0ce0949e1ad8073baed2f7028,0
wd:Q2544,0
wd:Q3363029,0
wd:Q1164432,0
wd:Q1275989,0
wd:Q1342327,0
N66f60064419e4b388af4dd5541c7a99e,0
wd:Q744894,0
wd:Q41184,0
wd:Q3603729,0
wd:Q21744087,0
wd:Q1958033,0
wd:Q27976689,0
wd:Q502319,0
wd:Q35694,0
Nd6c21a0346614f17b698eb02ca2cb9e5,0
wd:Q228466,0
Nda0dc4f7d78647dcaf55ecc38f10d5a8,0
wd:Q11916440,0
wd:Q43380,0
wd:Q21081471,0
wd:Q1938887,0
Ndc192597ca90447394e17eedd6715e3c,0
wd:Q2352894,0
N9946f67228104e518ab1c2cc7230d245,0
wd:Q14631294,0
wd:Q1587937,0
wd:Q2976560,0
wd:Q6269549,0
wd:Q74068,0
wd:Q11412,0
N0d6d924aed8e418690137e333604279d,0
wd:Q157146,0
wd:Q1144614,0
wd:Q11812011,0
wd:Q15643588,0
wd:Q1517820,0
wd:Q1048366,0
wd:Q487756,0
wd:Q797906,0
wd:Q2717006,0
wd:Q1140419,0
wd:Q19576,0
wd:Q178380,0
wd:Q2986739,0
wd:Q1412769,0
Na24d786a6dfa4e04a1ff785284f21707,0
N99f8d8c813ce43aca2b20ebf722db441,0
wd:Q2467463,0
wd:Q408464,0
wd:Q657433,0
wd:Q12741714,0
wd:Q11333206,0
wd:Q1515570,0
wd:Q1146195,0
wd:Q10979515,0
wd:Q396108,0
wd:Q626503,0
wd:Q7936581,0
wd:Q4376721,0
wd:Q11997320,0
wd:Q29954,0
wd:Q1621789,0
wd:Q202241,0
wd:Q2267872,0
wd:Q163468,0
wd:Q5726315,0
wd:Q7837528,0
N6df3706dff5f4b6ba513487d66c1a7d8,0
wd:Q28123288,0
wd:Q4881953,0
wd:Q1349117,0
wd:Q11426286,0
N7b897e3bc8c4495da76560db10ab9928,0
wd:Q12444025,0
wd:Q272268,0
wd:Q24726164,0
wd:Q2872814,0
wd:Q1870403,0
wd:Q3885652,0
wd:Q567586,0
wd:Q833913,0
wd:Q1544924,0
wd:Q7918690,0
N2727a099d0ab49d59adf3732db4b3262,0
wd:Q24777360,0
wd:Q2527,0
wd:Q2481648,0
wd:Q18209079,0
wd:Q16441793,0
wd:Q12584115,0
wd:Q244979,0
wd:Q11515690,0
wd:Q73,0
wd:Q490035,0
wd:Q10972966,0
wd:Q8421,0
wd:Q31110,0
wd:Q11776642,0
wd:Q24724794,0
wd:Q751037,0
wd:Q1478274,0
wd:Q26371,0
wd:Q2714209,0
wd:Q215185,0
wd:Q2929311,0
wd:Q12912864,0
wd:Q903356,0
wd:Q20523364,0
wd:Q17779109,0
wd:Q15054121,0
wd:Q2403,0
Nb7d309b389864f589b705641bcdec4ee,0
wd:Q16671032,0
wd:Q26377,0
wd:Q1641112,0
wd:Q864190,0
wd:Q559210,0
wd:Q815825,0
N940e3f8ed26141f7bdd2d025534e3eac,0
wd:Q3519050,0
wd:Q133006,0
wd:Q124192,0
wd:Q636169,0
wd:Q3809453,0
wd:Q12055245,0
wd:Q3162623,0
wd:Q2931,0
