"statvalue","noinstances"
"Q1",9
"Q100023",1
"Q1000370",1
"Q1000371",2
"Q1000492",1
"Q1000660",2
"Q10007123",3
"Q1000809",9
"Q1000984",43
"Q1001011",1
"Q1001035",1
"Q1001041",8
"Q1001051",63
"Q1001055",1
"Q1001287",5
"Q1001378",16
"Q1001507",1
"Q100159",1
"Q1002469",2
"Q1002697",14830
"Q1002812",47
"Q10028748",1
"Q1002954",17
"Q1003030",17
"Q1003207",43
"Q1003588",1
"Q1003607",7
"Q1003631",30
"Q10038",1
"Q1003889",5
"Q1004",3286
"Q1004210",9
"Q1004391",889
"Q1004415",3
"Q1004435",2
"Q1004887",36
"Q1004929",1
"Q1005383",12
"Q1005416",9
"Q1005418",23
"Q1005420",33
"Q1005845",1
"Q1005932",4
"Q1005960",2
"Q1005976",5
"Q1006048",12
"Q1006074",21
"Q1006079",95
"Q1006082",14
"Q1006160",18
"Q1006283",1
"Q1006308",3
"Q1006311",16
"Q1006349",22
"Q1006360",3
"Q1006365",4
"Q100649",1
"Q10065268",64
"Q1006573",21
"Q1006610",2
"Q1006612",4
"Q1006644",6
"Q1006719",1
"Q1006733",8
"Q1006835",4
"Q1006876",41
"Q1007114",1
"Q1007311",27
"Q1007356",17
"Q1007767",5
"Q1007870",669
"Q1008026",1
"Q1008803",2
"Q1009130",1
"Q1009170",6
"Q1009216",1
"Q1009249",36
"Q1009272",6
"Q1009371",1
"Q1009623",6
"Q1009641",68
"Q1010155",2
"Q101017",1
"Q1010251",1
"Q101072",79
"Q1011110",3
"Q1011547",93
"Q1011572",10
"Q101191",2
"Q101244",71
"Q101333",1
"Q101352",113404
"Q101362",2
"Q101373",2
"Q1013818",1
"Q101401",607
"Q1014491",13
"Q10145",4067
"Q101487",6
"Q1014933",1
"Q101497",75
"Q1015103",29
"Q1015136",1
"Q1015163",16
"Q1015325",1
"Q1015644",176
"Q101600",498
"Q101609",13
"Q1016093",19
"Q101659",1583
"Q101667",2
"Q101674",2
"Q101680",1
"Q1016853",3
"Q101687",793
"Q1016957",180
"Q1017239",1
"Q1017324",7
"Q1017546",167
"Q101843",10
"Q101849",1
"Q1019352",1
"Q101965",104
"Q101991",4
"Q101998",22
"Q1019982",4
"Q1020008",1
"Q1020018",6
"Q1020052",4
"Q1020348",1
"Q102047",114
"Q102059",2
"Q1020621",1
"Q102066",2
"Q1020767",6
"Q1020768",1
"Q102083",13
"Q102090",3
"Q1020994",3
"Q10210",4
"Q1021048",1
"Q1021096",2
"Q1021106",3764
"Q1021128",6
"Q1021233",109
"Q1021290",55
"Q1021386",1
"Q1021435",10
"Q1021488",13
"Q1021645",459
"Q1021686",3
"Q1021711",146
"Q1021913",3
"Q102192",2
"Q102205",7
"Q1022147",5
"Q1022270",2
"Q102231",1
"Q1022469",54
"Q1022626",1
"Q1022638",1
"Q1022725",1
"Q1022867",19
"Q1023097",1
"Q1023340",6
"Q1023370",24
"Q1023377",20
"Q1023529",1
"Q102356",1432
"Q102397",4
"Q1023978",4
"Q1024155",16
"Q1024754",1
"Q1024817",1
"Q102496",11534
"Q1024984",24
"Q102500",1
"Q1025017",1
"Q1025116",6
"Q102532",1
"Q102538",43
"Q1025517",1
"Q1025636",3
"Q1025846",43
"Q1025949",82
"Q1025961",11
"Q1026",9
"Q10260065",1
"Q1026040",2
"Q10260412",8
"Q10260870",4
"Q1026259",13
"Q102626",1
"Q10265686",1
"Q10266088",3
"Q1026675",1
"Q10267322",1
"Q10267336",138
"Q10267490",11
"Q1026858",2
"Q10269077",110
"Q1026962",1
"Q10270843",1
"Q10270932",1
"Q10271630",6
"Q10273077",24
"Q10273189",3
"Q10273296",1
"Q102742",2
"Q1027471",12
"Q1027825",3
"Q102786",123
"Q1027879",7
"Q102798",5
"Q1028181",148
"Q10283140",1
"Q10283556",42
"Q102836",1
"Q10285934",1
"Q10289",4
"Q1028939",7
"Q1029013",3
