s,g1
http://www.wikidata.org/entity/Q2033665,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#InformationEntity
http://www.wikidata.org/entity/Q1183659,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#InformationEntity
http://www.wikidata.org/entity/Q333373,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#InformationEntity
http://www.wikidata.org/entity/Q4536460,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#InformationEntity
http://www.wikidata.org/entity/Q3560677,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#InformationEntity
http://www.wikidata.org/entity/Q33431,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#InformationEntity
http://www.wikidata.org/entity/Q1122588,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#InformationEntity
http://www.wikidata.org/entity/Q189210,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#InformationEntity
http://www.wikidata.org/entity/Q517621,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Description
http://www.wikidata.org/entity/Q324380,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Description
http://www.wikidata.org/entity/Q775807,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Personification
http://www.wikidata.org/entity/Q3656924,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Personification
http://www.wikidata.org/entity/Q376178,http://www.ontologydesignpatterns.org/ont/d0.owl#Location
http://www.wikidata.org/entity/Q1016093,http://www.ontologydesignpatterns.org/ont/d0.owl#Location
http://www.wikidata.org/entity/Q130654,http://www.ontologydesignpatterns.org/ont/d0.owl#Location
http://www.wikidata.org/entity/Q3307023,http://www.ontologydesignpatterns.org/ont/d0.owl#Location
http://www.wikidata.org/entity/Q2578028,http://www.ontologydesignpatterns.org/ont/d0.owl#Location
http://www.wikidata.org/entity/Q839815,http://www.ontologydesignpatterns.org/ont/d0.owl#Location
http://www.wikidata.org/entity/Q2149036,http://www.ontologydesignpatterns.org/ont/d0.owl#Location
http://www.wikidata.org/entity/Q7139637,http://www.ontologydesignpatterns.org/ont/d0.owl#Location
http://www.wikidata.org/entity/Q1975533,http://www.ontologydesignpatterns.org/ont/d0.owl#Location
http://www.wikidata.org/entity/Q25209672,http://www.ontologydesignpatterns.org/ont/d0.owl#Location
http://www.wikidata.org/entity/Q611075,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Organism
