item,noSubClasses
wd:Q193760,1
wd:Q214267,2
wd:Q7635394,3
wd:Q16056640,0
wd:Q834007,1
wd:Q29149925,0
wd:Q5602916,0
wd:Q498508,1
wd:Q713493,3
wd:Q7825049,1
wd:Q27905,0
wd:Q2561317,1
wd:Q1165103,1
wd:Q3508687,0
wd:Q471702,6
wd:Q4364435,1
wd:Q7431132,0
wd:Q5196456,0
wd:Q1200314,1
wd:Q2553861,1
wd:Q988456,2
wd:Q7554354,0
wd:Q2662841,0
wd:Q7865904,0
wd:Q180362,1
wd:Q7397372,0
wd:Q13222844,0
wd:Q739589,13
wd:Q16976295,0
wd:Q190489,1
wd:Q635767,0
wd:Q2166448,1
wd:Q4832012,0
wd:Q2735971,1
wd:Q1135221,5
wd:Q7489831,0
wd:Q2301073,0
wd:Q4173974,3
wd:Q5249245,1
wd:Q83809,1
wd:Q5165448,1
wd:Q204043,0
wd:Q1074090,0
wd:Q17106089,1
wd:Q7972831,0
wd:Q7628401,0
wd:Q845060,4
wd:Q1361583,0
wd:Q839018,0
wd:Q763501,0
wd:Q1032349,1
wd:Q3125207,0
wd:Q676024,1
wd:Q7435308,1
wd:Q5468420,2
wd:Q18757,2
wd:Q899681,0
wd:Q17122930,0
wd:Q6746692,1
wd:Q3575768,0
wd:Q6656244,2
wd:Q4818230,1
wd:Q308881,1
wd:Q1064441,1
wd:Q16839444,0
wd:Q1067203,1
wd:Q1754327,0
wd:Q4311738,2
wd:Q858496,0
wd:Q17086996,0
wd:Q15972949,0
wd:Q13455560,0
wd:Q2250008,1
wd:Q1967218,1
wd:Q7941026,0
wd:Q2891405,0
wd:Q1400734,0
wd:Q16154661,0
wd:Q192852,1
wd:Q429049,1
wd:Q2620655,0
wd:Q5183758,0
wd:Q199388,2
wd:Q422584,1
wd:Q43518,3
wd:Q185698,4
wd:Q529637,2
wd:Q1321919,0
wd:Q581809,0
wd:Q2070184,0
wd:Q2835766,0
wd:Q13551889,2
wd:Q763956,0
wd:Q6503275,0
wd:Q7315461,0
wd:Q2055141,0
wd:Q184377,6
wd:Q6708227,0
wd:Q3434454,0
wd:Q934433,0
wd:Q6823858,0
wd:Q2488579,2
wd:Q885115,0
wd:Q3007454,1
wd:Q2045669,1
wd:Q534131,1
wd:Q3951828,0
wd:Q1550232,0
wd:Q786484,2
wd:Q1306022,0
wd:Q339180,17
wd:Q835023,1
wd:Q7658863,0
wd:Q1178984,1
wd:Q7318358,0
wd:Q380170,2
wd:Q2646130,1
wd:Q5629930,1
wd:Q611946,0
wd:Q734236,0
wd:Q305016,0
wd:Q1959404,0
wd:Q6918351,2
wd:Q3737909,0
wd:Q2415537,1
wd:Q7077160,1
wd:Q511733,1
wd:Q1364467,1
wd:Q25038162,0
wd:Q2733083,0
wd:Q2945640,0
wd:Q5413443,0
wd:Q318869,0
wd:Q2299007,0
wd:Q3561179,1
wd:Q1521634,0
wd:Q131925,2
wd:Q356648,1
wd:Q1270126,0
wd:Q1401536,1
wd:Q1427914,0
wd:Q6731162,0
wd:Q2883346,0
wd:Q1758095,1
wd:Q163967,0
wd:Q1523627,0
wd:Q1761269,0
wd:Q1341702,0
wd:Q3506963,0
wd:Q12880215,5
wd:Q230533,1
wd:Q1964223,0
wd:Q5422725,0
wd:Q474187,1
wd:Q694131,4
wd:Q185369,1
wd:Q1991663,2
wd:Q6501106,1
wd:Q181767,9
wd:Q1220872,0
wd:Q855743,0
wd:Q2306510,1
wd:Q1416310,0
wd:Q3931974,0
wd:Q2916245,1
wd:Q302152,1
wd:Q860947,1
wd:Q2992545,1
wd:Q3561963,0
wd:Q1513250,0
wd:Q5119003,0
wd:Q29407,0
wd:Q2565355,0
wd:Q2356542,2
wd:Q4879524,0
wd:Q1785609,0
wd:Q757232,1
wd:Q7171483,0
wd:Q676108,1
wd:Q3872,1
wd:Q4146702,0
wd:Q358404,1
wd:Q1126769,4
wd:Q849032,2
wd:Q1571949,1
wd:Q1777684,0
wd:Q747810,3
wd:Q14472286,0
wd:Q1068640,0
wd:Q687031,3
wd:Q4672500,1
wd:Q1888611,0
wd:Q128367,6
wd:Q1303061,0
wd:Q1023377,0
wd:Q329273,1
wd:Q2125374,1
wd:Q559065,0
wd:Q15900779,0
wd:Q1104185,1
wd:Q2717322,0
wd:Q1893282,0
wd:Q1632297,1
wd:Q3128632,0
wd:Q1149963,0
wd:Q331353,0
wd:Q173245,1
wd:Q1363275,0
wd:Q3540209,0
wd:Q1322614,0
wd:Q1822655,1
wd:Q509037,0
wd:Q1081004,0
wd:Q2995432,0
wd:Q1509590,0
wd:Q18350832,0
wd:Q12354166,2
wd:Q304618,1
wd:Q3781304,0
wd:Q1232148,0
wd:Q263809,2
wd:Q201833,2
wd:Q1476232,0
wd:Q5519945,1
wd:Q5450355,1
wd:Q774583,1
wd:Q842813,2
wd:Q6950379,0
wd:Q156112,0
wd:Q5458967,1
wd:Q633620,1
wd:Q47657,6
wd:Q908908,0
wd:Q1570373,0
wd:Q745090,1
wd:Q163021,0
wd:Q842206,1
wd:Q1558681,1
wd:Q7281038,0
wd:Q6418097,0
wd:Q688385,0
wd:Q1064975,1
wd:Q484318,0
wd:Q6503489,0
wd:Q877979,0
wd:Q5889850,0
wd:Q2954947,0
wd:Q13100823,1
wd:Q6867355,1
wd:Q840343,1
wd:Q7333303,0
wd:Q1637005,0
wd:Q7001060,0
wd:Q387318,0
wd:Q850692,0
wd:Q725417,1
wd:Q173106,1
wd:Q706848,1
wd:Q5281760,0
wd:Q7430243,0
wd:Q1027298,1
wd:Q7189622,1
wd:Q2885682,1
wd:Q1851434,4
wd:Q1542864,0
wd:Q1156822,2
wd:Q3041327,1
wd:Q1438124,1
wd:Q60378,0
wd:Q9008551,2
wd:Q500348,0
wd:Q1094528,0
wd:Q6731566,0
wd:Q332285,0
wd:Q7673109,0
wd:Q3275749,0
wd:Q485537,7
wd:Q846929,1
wd:Q1147354,0
wd:Q747746,0
wd:Q2138304,8
wd:Q5438144,0
wd:Q3057802,0
wd:Q340015,1
wd:Q2076599,0
wd:Q3026419,1
wd:Q959163,0
wd:Q1751445,1
wd:Q5138208,1
wd:Q428632,4
wd:Q426394,0
wd:Q363404,1
wd:Q956085,2
wd:Q190132,2
wd:Q205046,0
wd:Q5185343,1
wd:Q5283901,1
wd:Q3635472,1
wd:Q276099,1
wd:Q717122,0
wd:Q694118,12
wd:Q332985,1
wd:Q1153773,3
wd:Q1144170,0
wd:Q18957,1
wd:Q7624088,0
wd:Q308859,2
wd:Q986909,1
wd:Q17015388,0
wd:Q2639207,0
wd:Q819049,0
wd:Q7225120,0
wd:Q212108,3
wd:Q424494,1
wd:Q1069280,1
wd:Q898370,1
wd:Q1172477,0
wd:Q3072558,0
wd:Q1662670,0
wd:Q4613441,1
wd:Q863575,0
wd:Q653345,0
wd:Q3935748,0
wd:Q1394451,1
wd:Q692218,3
wd:Q5602027,5
wd:Q629029,1
wd:Q208128,0
wd:Q943898,0
wd:Q182875,0
wd:Q1203383,1
wd:Q1667082,2
wd:Q1093522,2
wd:Q1385001,0
wd:Q1049923,1
wd:Q1164432,0
wd:Q1109562,0
wd:Q7513684,0
wd:Q3565078,5
wd:Q636027,6
wd:Q837313,1
wd:Q10858068,1
wd:Q827688,1
wd:Q899232,1
wd:Q683732,1
wd:Q4925872,0
wd:Q16001535,3
wd:Q450539,0
wd:Q1749879,1
wd:Q466449,0
wd:Q1139917,0
wd:Q747779,0
wd:Q3075310,3
wd:Q847536,0
wd:Q2290944,0
wd:Q1191519,2
wd:Q2986423,1
wd:Q4997551,1
wd:Q1576430,1
wd:Q903282,1
wd:Q6057169,0
wd:Q18160232,1
wd:Q7257997,0
wd:Q7448137,1
wd:Q465503,0
wd:Q219625,1
wd:Q3236487,1
wd:Q1192317,0
wd:Q357789,1
wd:Q656784,1
wd:Q3041123,0
wd:Q652289,0
wd:Q4686479,0
wd:Q3523879,1
wd:Q1187724,1
wd:Q2859736,0
wd:Q5451695,11
wd:Q1668074,0
wd:Q7950347,0
wd:Q4384456,0
wd:Q1088161,1
wd:Q1182135,1
wd:Q4116106,1
wd:Q2920329,0
wd:Q255731,1
wd:Q1465703,0
wd:Q1981640,0
wd:Q23055573,0
wd:Q749400,1
wd:Q1484064,0
wd:Q3707847,1
wd:Q1516291,1
wd:Q1330821,0
wd:Q5317357,0
wd:Q1999580,1
wd:Q4839577,0
wd:Q3308639,0
wd:Q263443,0
wd:Q7302601,1
wd:Q842072,0
wd:Q1112254,0
wd:Q845214,2
wd:Q2626671,0
wd:Q649499,0
wd:Q5469877,1
wd:Q574613,1
wd:Q1430789,4
wd:Q1754555,1
wd:Q190258,1
wd:Q1144504,1
wd:Q9178218,0
wd:Q1574438,0
wd:Q5381546,1
wd:Q2526135,28
wd:Q928812,0
wd:Q3269441,5
wd:Q544736,1
wd:Q655593,0
wd:Q2994640,1
wd:Q1572403,0
wd:Q4774344,0
wd:Q3519388,0
wd:Q5062052,1
wd:Q17079911,0
wd:Q1200992,0
wd:Q243237,1
wd:Q1349660,1
wd:Q837721,2
wd:Q933382,3
wd:Q838625,0
wd:Q4420941,0
wd:Q210978,1
wd:Q4114753,0
wd:Q372001,2
wd:Q4202184,0
wd:Q1202243,0
wd:Q6815577,0
wd:Q1513223,0
wd:Q3376141,0
wd:Q1136404,0
wd:Q1899048,0
wd:Q368312,0
wd:Q3943927,0
wd:Q4352447,1
wd:Q3775122,0
wd:Q5001927,1
wd:Q42008,0
wd:Q1076557,2
wd:Q1742093,3
wd:Q831047,0
wd:Q3408901,1
wd:Q2435085,1
wd:Q4503831,5
wd:Q143470,0
wd:Q3518405,1
wd:Q927431,1
wd:Q1572895,1
wd:Q4290565,0
wd:Q7245071,1
wd:Q7134956,1
wd:Q1156976,2
wd:Q461499,0
wd:Q5146583,0
wd:Q191110,0
wd:Q15059635,1
wd:Q1154909,0
wd:Q289891,3
wd:Q1075009,1
wd:Q23047376,1
wd:Q5381254,0
wd:Q7912786,1
wd:Q184716,1
wd:Q1527595,1
wd:Q4852446,0
wd:Q4149604,0
wd:Q1706492,1
wd:Q1202146,0
wd:Q3030775,1
wd:Q20642576,0
wd:Q216817,0
wd:Q7226618,1
wd:Q3558349,1
wd:Q1369310,1
wd:Q566689,1
wd:Q5382723,3
wd:Q5255888,0
wd:Q62955,0
wd:Q7564106,0
wd:Q7299618,0
wd:Q707896,1
wd:Q3228623,1
wd:Q7315175,0
wd:Q7864937,0
wd:Q25323710,0
wd:Q133766,0
wd:Q915026,1
wd:Q19902110,0
wd:Q629882,0
wd:Q13440398,1
wd:Q170451,13
wd:Q2314176,1
wd:Q154365,2
wd:Q374259,6
wd:Q81659,3
wd:Q2466334,1
wd:Q5154924,0
wd:Q366732,1
wd:Q7880416,0
wd:Q172861,0
wd:Q1204361,1
wd:Q3625100,1
wd:Q3305298,0
wd:Q7248116,1
wd:Q192886,1
wd:Q427085,0
wd:Q192696,2
wd:Q552994,3
wd:Q21162481,1
wd:Q816871,3
wd:Q747478,0
wd:Q351119,0
wd:Q58748,0
wd:Q622601,2
wd:Q192089,5
wd:Q1647939,1
wd:Q3394670,0
wd:Q5265707,0
wd:Q224107,1
wd:Q4386797,0
wd:Q7200276,0
wd:Q201936,1
wd:Q522560,0
wd:Q44311,1
wd:Q12912864,1
wd:Q4851250,0
wd:Q2116384,0
wd:Q334765,0
wd:Q787282,1
wd:Q5193357,0
wd:Q1485102,1
wd:Q191903,0
wd:Q920600,2
wd:Q7860947,0
wd:Q6823697,0
wd:Q907574,1
wd:Q1498213,1
wd:Q2292993,2
wd:Q11142797,0
wd:Q614394,1
wd:Q7879841,1
wd:Q6749571,5
wd:Q1414356,1
wd:Q1229600,0
wd:Q7258780,0
wd:Q273610,0
wd:Q253897,1
wd:Q3318236,1
wd:Q1137656,5
wd:Q6732892,0
wd:Q471857,1
wd:Q1896787,0
wd:Q1229735,0
wd:Q1323709,1
wd:Q1714250,2
wd:Q1612699,1
wd:Q3328738,1
wd:Q1071659,1
wd:Q3691256,0
wd:Q213096,2
wd:Q4145423,0
wd:Q2629736,0
wd:Q1142340,0
wd:Q7834916,0
wd:Q1686000,2
wd:Q467687,0
wd:Q1760222,0
wd:Q1413962,0
wd:Q117987,0
wd:Q764805,0
wd:Q5610968,0
wd:Q1780146,0
wd:Q5157524,1
wd:Q322229,0
wd:Q2005597,1
wd:Q7094100,1
wd:Q1476938,0
wd:Q2404958,0
wd:Q7225130,0
wd:Q15788,9
wd:Q496188,1
wd:Q175234,0
wd:Q12411192,0
wd:Q7598359,1
wd:Q13048280,1
wd:Q7100755,4
wd:Q1413128,1
wd:Q2248740,0
wd:Q386077,0
wd:Q58929,1
wd:Q15402063,0
wd:Q328616,0
wd:Q3399648,2
wd:Q260899,9
wd:Q2072447,1
wd:Q809898,1
wd:Q27406,0
wd:Q3271199,0
wd:Q944672,0
wd:Q7595782,0
